ts_epoch,ts_et,leg,kind,target_cents,state,reason,receipt
1786308060,2026-08-09 20:41:00,BAR,PLACE_REST,1,SETTLED,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-2
1786308060,2026-08-09 20:41:00,LEC,PLACE_REST,1,SETTLED,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-2
1786308060,2026-08-09 20:41:00,LEC,REPRICE_REST,2,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-3
1786308060,2026-08-09 20:41:00,BAR,PLACE_REST,1,SETTLED,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-2
1786308060,2026-08-09 20:41:00,LEC,PLACE_REST,1,SETTLED,V43_C3_TRACKING_REST_BEST_BID_ONE_CENT_LESS_GREEDY,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-2
1786308060,2026-08-09 20:41:00,LEC,REPRICE_REST,2,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-3
1786308061,2026-08-09 20:41:01,BAR,REPRICE_REST,2,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-6
1786308061,2026-08-09 20:41:01,BAR,REPRICE_REST,2,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-6
1786308096,2026-08-09 20:41:36,LEC,REPRICE_REST,3,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-22
1786308096,2026-08-09 20:41:36,BAR,REPRICE_REST,3,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-24
1786308096,2026-08-09 20:41:36,LEC,REPRICE_REST,3,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-22
1786308096,2026-08-09 20:41:36,BAR,REPRICE_REST,3,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-24
1786308146,2026-08-09 20:42:26,BAR,REPRICE_REST,4,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-32
1786308146,2026-08-09 20:42:26,LEC,REPRICE_REST,4,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-32
1786308146,2026-08-09 20:42:26,BAR,REPRICE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-35
1786308146,2026-08-09 20:42:26,LEC,REPRICE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-35
1786308146,2026-08-09 20:42:26,BAR,REPRICE_REST,4,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-32
1786308146,2026-08-09 20:42:26,LEC,REPRICE_REST,4,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-32
1786308146,2026-08-09 20:42:26,BAR,REPRICE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-35
1786308146,2026-08-09 20:42:26,LEC,REPRICE_REST,5,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-35
1786308158,2026-08-09 20:42:38,BAR,DEEP_GAP_WITHHOLD_START,,,,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-38
1786308158,2026-08-09 20:42:38,LEC,REPRICE_REST,8,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-45
1786308158,2026-08-09 20:42:38,BAR,DEEP_GAP_WITHHOLD_LIFT,,,,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-46
1786308158,2026-08-09 20:42:38,BAR,REPRICE_REST,83,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-46
1786308158,2026-08-09 20:42:38,BAR,DEEP_GAP_WITHHOLD_START,,,,KXATPCHALLENGERMATCH-26AUG10BARLEC-BAR.csv.gz#row-38
1786308158,2026-08-09 20:42:38,LEC,REPRICE_REST,8,RISING,V41_RISING_PERSISTENCE_ONLY_JOIN_300S_P2_OVER_P1,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-45
1786308158,2026-08-09 20:42:38,BAR,DEEP_GAP_WITHHOLD_LIFT,,,,KXATPCHALLENGERMATCH-26AUG10BARLEC-LEC.csv.gz#row-46
