cell_id,dca_drop,exit_target,strategy_AB,n_trades,win_rate,mean_roi,median_roi,p25_roi,p75_roi,max_loss,total_pnl_baby
ATP_CHALL_leader_55-59,,hold99,NA,82,63.4,7.65,67.8,-100.0,67.8,590,3700
ATP_CHALL_leader_55-59,,5,NA,82,92.7,1.36,8.47,8.47,8.47,590,660
ATP_CHALL_leader_55-59,,10,NA,82,84.1,-0.76,16.95,16.95,16.95,590,-370
ATP_CHALL_leader_55-59,,15,NA,82,80.5,1.78,25.42,25.42,25.42,590,860
ATP_CHALL_leader_55-59,,20,NA,82,79.3,7.34,33.9,33.9,33.9,590,3550
ATP_CHALL_leader_55-59,,25,NA,82,73.2,5.27,42.37,-55.51,42.37,590,2550
ATP_CHALL_leader_55-59,,30,NA,82,68.3,4.46,50.85,-100.0,50.85,590,2160
ATP_CHALL_leader_55-59,5,hold99,A,82,63.4,10.34,72.67,-100.0,72.67,860,6095
ATP_CHALL_leader_55-59,5,hold99,B,82,63.4,10.34,72.67,-100.0,72.67,860,6095
ATP_CHALL_leader_55-59,5,5,A,82,92.7,3.02,11.63,8.47,11.63,860,1460
ATP_CHALL_leader_55-59,5,5,B,82,93.9,2.51,8.14,8.14,8.47,860,1100
ATP_CHALL_leader_55-59,5,10,A,82,84.1,1.18,20.35,16.95,20.35,860,-85
ATP_CHALL_leader_55-59,5,10,B,82,86.6,2.03,16.86,16.86,16.95,860,515
ATP_CHALL_leader_55-59,5,15,A,82,80.5,3.87,29.07,25.42,29.07,860,1510
ATP_CHALL_leader_55-59,5,15,B,82,82.9,4.93,25.58,25.42,25.58,860,2260
ATP_CHALL_leader_55-59,5,20,A,82,79.3,9.67,37.79,33.9,37.79,860,5445
ATP_CHALL_leader_55-59,5,20,B,82,80.5,8.53,34.3,33.9,34.3,860,4635
ATP_CHALL_leader_55-59,5,25,A,82,73.2,7.65,46.51,-54.22,46.51,860,3995
ATP_CHALL_leader_55-59,5,25,B,82,75.6,9.18,43.02,-1.95,43.02,860,5075
ATP_CHALL_leader_55-59,5,30,A,82,68.3,7.1,55.23,-100.0,55.23,860,4135
ATP_CHALL_leader_55-59,5,30,B,82,68.3,5.06,51.74,-100.0,51.74,860,2695
ATP_CHALL_leader_55-59,10,hold99,A,82,63.4,12.08,67.8,-100.0,77.84,835,5695
ATP_CHALL_leader_55-59,10,hold99,B,82,63.4,12.08,67.8,-100.0,77.84,835,5695
ATP_CHALL_leader_55-59,10,5,A,82,92.7,3.42,8.47,8.47,14.97,835,1385
ATP_CHALL_leader_55-59,10,5,B,82,93.9,3.05,8.47,8.47,9.58,835,1130
ATP_CHALL_leader_55-59,10,10,A,82,84.1,2.05,16.95,16.95,23.95,835,-10
ATP_CHALL_leader_55-59,10,10,B,82,85.4,1.33,16.95,16.95,18.56,835,-505
ATP_CHALL_leader_55-59,10,15,A,82,80.5,4.98,25.42,25.42,32.93,835,1560
ATP_CHALL_leader_55-59,10,15,B,82,82.9,5.79,25.42,25.42,27.54,835,2115
ATP_CHALL_leader_55-59,10,20,A,82,79.3,10.98,33.9,33.9,41.92,835,5270
ATP_CHALL_leader_55-59,10,20,B,82,80.5,9.51,33.9,33.9,36.53,835,4265
ATP_CHALL_leader_55-59,10,25,A,82,73.2,9.03,42.37,-52.84,50.9,835,3770
ATP_CHALL_leader_55-59,10,25,B,82,74.4,8.5,42.37,-33.43,45.51,835,3410
ATP_CHALL_leader_55-59,10,30,A,82,68.3,8.69,50.85,-100.0,59.88,835,3785
ATP_CHALL_leader_55-59,10,30,B,82,68.3,6.26,50.85,-100.0,54.49,835,2120
ATP_CHALL_leader_55-59,15,hold99,A,82,63.4,12.8,67.8,-100.0,83.33,810,4845
ATP_CHALL_leader_55-59,15,hold99,B,82,63.4,12.8,67.8,-100.0,83.33,810,4845
ATP_CHALL_leader_55-59,15,5,A,82,92.7,3.32,8.47,8.47,8.47,810,1160
ATP_CHALL_leader_55-59,15,5,B,82,93.9,2.85,8.47,8.47,8.47,810,845
ATP_CHALL_leader_55-59,15,10,A,82,84.1,2.4,16.95,16.95,27.78,810,-10
ATP_CHALL_leader_55-59,15,10,B,82,87.8,4.03,16.95,16.95,18.52,810,1070
ATP_CHALL_leader_55-59,15,15,A,82,80.5,5.46,25.42,25.42,37.04,810,1460
ATP_CHALL_leader_55-59,15,15,B,82,82.9,5.64,25.42,25.42,27.78,810,1580
ATP_CHALL_leader_55-59,15,20,A,82,79.3,11.76,33.9,33.9,46.3,810,5195
ATP_CHALL_leader_55-59,15,20,B,82,80.5,9.75,33.9,33.9,37.04,810,3860
ATP_CHALL_leader_55-59,15,25,A,82,73.2,9.96,42.37,-51.39,55.56,810,3795
