ts_epoch,t_min,spread,midsum_abs_dev,bid_dwell_s,ask_dwell_s,book_changes_30min,trades_60min
1784148754,0.0,88,0.0,0,0,0,0
1784148814,1.0,88,0.0,60,60,0,0
1784148874,2.0,87,1.0,120,11,1,0
1784148934,3.0,87,1.0,180,71,1,0
1784148994,4.0,87,1.0,240,131,1,0
1784149054,5.0,87,1.0,300,191,1,0
1784149114,6.0,87,1.0,360,251,1,0
1784149174,7.0,87,1.0,420,311,1,0
1784149234,8.0,87,1.0,480,371,1,0
1784149294,9.0,87,1.0,540,431,1,0
1784149354,10.0,87,1.0,600,491,1,0
1784149414,11.0,87,1.0,660,551,1,0
1784149474,12.0,87,1.0,720,611,1,0
1784149534,13.0,87,1.0,780,671,1,0
1784149594,14.0,87,1.0,840,731,1,0
1784149654,15.0,87,1.0,900,791,1,0
1784149714,16.0,87,1.0,960,851,1,0
1784149774,17.0,87,1.0,1020,911,1,0
1784149834,18.0,87,1.0,1080,971,1,0
1784149894,19.0,87,1.0,1140,1031,1,0
1784149954,20.0,87,1.0,1200,1091,1,0
1784150014,21.0,87,1.0,1260,1151,1,0
1784150074,22.0,87,1.0,1320,1211,1,0
1784150134,23.0,87,1.0,1380,1271,1,0
1784150194,24.0,87,0.5,1440,1331,1,0
1784150254,25.0,87,0.5,1500,1391,1,0
1784150314,26.0,87,0.5,1560,1451,1,0
1784150374,27.0,87,0.5,1620,1511,1,0
1784150434,28.0,87,0.5,1680,1571,1,0
1784150494,29.0,87,0.5,1740,1631,1,0
1784150554,30.0,87,0.5,1800,1691,1,0
1784150614,31.0,88,0.5,1860,3,2,2
1784150674,32.0,87,0.0,1920,29,2,2
1784150734,33.0,87,0.5,1980,89,2,2
1784150794,34.0,87,1.0,2040,149,2,4
1784150854,35.0,87,1.5,2100,22,26,4
1784150914,36.0,86,1.0,2160,22,27,5
1784150974,37.0,88,2.0,2220,0,144,5
1784151034,38.0,88,2.0,2280,0,276,5
1784151094,39.0,86,1.0,2340,0,410,5
1784151154,40.0,88,2.0,2400,0,555,5
1784151214,41.0,88,2.0,2460,0,712,5
1784151274,42.0,88,2.0,2520,0,863,5
1784151334,43.0,86,1.0,2580,0,1003,5
1784151394,44.0,88,2.0,2640,0,1152,5
1784151454,45.0,88,2.0,2700,0,1283,5
1784151514,46.0,86,1.0,2760,0,1459,5
1784151574,47.0,86,1.0,2820,0,1559,5
1784151634,48.0,88,2.0,2880,0,1638,5
1784151694,49.0,52,0.0,5,11,1715,6
1784151754,50.0,50,0.5,11,8,1720,6
1784151814,51.0,48,0.5,55,58,1722,6
1784151874,52.0,48,1.0,115,118,1722,6
1784151934,53.0,47,1.5,0,178,1723,6
1784151994,54.0,47,1.5,60,238,1723,6
1784152054,55.0,47,1.5,120,298,1723,6
1784152114,56.0,47,1.5,180,358,1723,6
1784152174,57.0,45,3.5,240,35,1727,7
1784152234,58.0,45,3.5,300,95,1727,7
1784152294,59.0,45,3.5,360,155,1727,7
1784152354,60.0,45,3.5,420,215,1727,7
1784152414,61.0,45,3.5,480,275,1726,7
1784152474,62.0,45,3.5,540,335,1725,7
1784152534,63.0,45,3.5,600,395,1725,7
1784152594,64.0,45,3.5,660,455,1725,7
1784152654,65.0,45,3.5,720,515,1701,9
1784152714,66.0,46,2.0,39,575,1701,9
1784152774,67.0,46,2.0,99,635,1589,9
1784152834,68.0,46,2.0,159,695,1456,9
1784152894,69.0,46,2.0,219,755,1320,9
1784152954,70.0,46,2.0,279,815,1176,9
1784153014,71.0,46,2.0,339,875,1018,9
1784153074,72.0,46,2.0,399,935,868,9
1784153134,73.0,46,2.0,459,995,727,9
