ts_epoch,ts_et,t_minus_scheduled_s,t_minus_actual_bell_s,t_minus_pre_match_boundary_s,leg,ticker,row_type,best_bid,bid_size,best_ask,ask_size,spread,ask_dwell_s,bid_depth_5,ask_depth_5,depth_ratio,last_traded,print_price,print_size,taker_side,trade_id,receipt,resting_bid,combined_state,quote_state,pressure_state,pair_cap,decision_action,decision_reason,layer_tags
1783801048,2026-07-11 16:17:28.000,52952.0,145052.0,145052,ARN,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,WINDOW_LEFT,,,,,,,,,,,,,,,WINDOW_LEFT,,,,,,,,WINDOW_BOUNDARY
1783801048.0,2026-07-11 16:17:28.000,52952.0,145052.0,145052.0,ARN,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,BBO,4,500,96,500,92,0.0,6254,6488,0.4908177680113012,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN.csv.gz#row-2,3,SETTLED,SETTLED,SETTLED,,PLACE_REST,FIRST_TWO_SIDED_BOOK_LIVING_REST_ONE_CENT_UNDER_BID,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION+REST_ACTION
1783801048,2026-07-11 16:17:28.000,52952.0,145052.0,145052,ROM,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM,WINDOW_LEFT,,,,,,,,,,,,,,,WINDOW_LEFT,,,,,,,,WINDOW_BOUNDARY
1783801048.0,2026-07-11 16:17:28.000,52952.0,145052.0,145052.0,ROM,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM,BBO,4,500,96,500,92,0.0,5742,5988,0.4895140664961637,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM.csv.gz#row-2,3,SETTLED,SETTLED,SETTLED,,PLACE_REST,FIRST_TWO_SIDED_BOOK_LIVING_REST_ONE_CENT_UNDER_BID,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION+REST_ACTION
1783801066.0,2026-07-11 16:17:46.000,52934.0,145034.0,145034.0,ROM,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM,BBO,4,500,96,500,92,18.0,5754,5988,0.49003576903423607,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM.csv.gz#row-3,3,SETTLED,SETTLED,SETTLED,,HOLD_REST,NO_ACTIVE_DISCOUNT_EVIDENCE_FLOOR,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION
1783802162.0,2026-07-11 16:36:02.000,51838.0,143938.0,143938.0,ARN,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,BBO,4,500,96,500,92,1114.0,6254,6505,0.4901638059409045,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN.csv.gz#row-3,3,SETTLED,SETTLED,SETTLED,,HOLD_REST,NO_ACTIVE_DISCOUNT_EVIDENCE_FLOOR,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION
1783802162.0,2026-07-11 16:36:02.000,51838.0,143938.0,143938.0,ARN,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,BBO,4,500,96,500,92,1114.0,6254,6516,0.4897415818324197,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN.csv.gz#row-4,3,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783802162.0,2026-07-11 16:36:02.000,51838.0,143938.0,143938.0,ARN,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN,BBO,4,500,95,7,91,0.0,6254,6523,0.4894732722861392,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ARN.csv.gz#row-5,3,FALLING,FALLING,SETTLED,,HOLD_REST,DISPLAYED_ASK_NOT_DWELL_AND_FIVE_LOT_QUALIFIED,SOURCE_BOOK+MACRO_QUOTE_PATH+PAIR_MICRO_PRESSURE+MICRO_POSITION+MICRO_MICRO_DECISION
1783802162.0,2026-07-11 16:36:02.000,51838.0,143938.0,143938.0,ROM,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM,BBO,4,500,96,500,92,1114.0,5754,6005,0.4893273237520197,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM.csv.gz#row-4,3,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
1783802162.0,2026-07-11 16:36:02.000,51838.0,143938.0,143938.0,ROM,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM,BBO,4,500,96,500,92,1114.0,5754,6016,0.48887000849617673,0,,,,,KXATPCHALLENGERMATCH-26JUL12ARNROM-ROM.csv.gz#row-5,3,SETTLED,SETTLED,SETTLED,,,,SOURCE_BOOK
